Date,Open,High,Low,Close,Adj Close,Volume
2023-03-29,600.000000,610.000000,595.000000,605.000000,605.000000,476400
2023-03-30,605.000000,615.000000,600.000000,610.000000,610.000000,739500
2023-03-31,610.000000,610.000000,605.000000,605.000000,605.000000,755100
2023-04-03,605.000000,615.000000,605.000000,605.000000,605.000000,751600
2023-04-04,605.000000,605.000000,595.000000,600.000000,600.000000,1583300
2023-04-05,600.000000,600.000000,590.000000,590.000000,590.000000,1926600
2023-04-06,590.000000,595.000000,580.000000,595.000000,595.000000,1983500
2023-04-10,595.000000,605.000000,590.000000,590.000000,590.000000,2901900
2023-04-11,590.000000,600.000000,590.000000,600.000000,600.000000,753500
2023-04-12,605.000000,605.000000,590.000000,595.000000,595.000000,637400
2023-04-13,600.000000,605.000000,590.000000,600.000000,600.000000,1872600
2023-04-14,605.000000,605.000000,600.000000,605.000000,605.000000,459700
2023-04-17,605.000000,640.000000,600.000000,620.000000,620.000000,6726000
2023-04-18,620.000000,635.000000,620.000000,630.000000,630.000000,2640200
2023-04-26,630.000000,670.000000,630.000000,660.000000,660.000000,10969100
2023-04-27,660.000000,680.000000,655.000000,665.000000,665.000000,8830400
2023-04-28,665.000000,700.000000,665.000000,700.000000,700.000000,17250900
2023-05-02,780.000000,840.000000,725.000000,775.000000,775.000000,77486900
2023-05-03,780.000000,800.000000,755.000000,765.000000,765.000000,18851500
2023-05-04,765.000000,790.000000,755.000000,765.000000,765.000000,18724500
2023-05-05,765.000000,790.000000,755.000000,775.000000,775.000000,15661500
2023-05-08,775.000000,805.000000,775.000000,795.000000,795.000000,27235100
2023-05-09,805.000000,805.000000,785.000000,790.000000,790.000000,9171400
2023-05-10,790.000000,820.000000,790.000000,810.000000,810.000000,14793600
2023-05-11,810.000000,815.000000,775.000000,785.000000,785.000000,11256300
2023-05-12,785.000000,790.000000,760.000000,770.000000,770.000000,9766700
2023-05-15,770.000000,795.000000,765.000000,795.000000,795.000000,7484300
2023-05-16,800.000000,810.000000,775.000000,780.000000,780.000000,11860700
2023-05-17,780.000000,790.000000,750.000000,765.000000,765.000000,10549800
2023-05-19,775.000000,780.000000,760.000000,780.000000,780.000000,5544200
2023-05-22,780.000000,800.000000,780.000000,790.000000,790.000000,9203000
2023-05-23,795.000000,845.000000,790.000000,840.000000,840.000000,47734500
2023-05-24,840.000000,865.000000,835.000000,865.000000,865.000000,0
2023-05-25,865.000000,880.000000,840.000000,855.000000,855.000000,35952400
2023-05-26,850.000000,865.000000,835.000000,840.000000,840.000000,14643100
2023-05-29,830.000000,855.000000,815.000000,830.000000,830.000000,18414000
2023-05-30,830.000000,840.000000,810.000000,810.000000,810.000000,13630700
2023-05-31,810.000000,820.000000,780.000000,785.000000,785.000000,16407900
2023-06-05,795.000000,835.000000,790.000000,835.000000,835.000000,16190500
2023-06-06,835.000000,850.000000,825.000000,830.000000,830.000000,8772100
2023-06-07,830.000000,860.000000,830.000000,850.000000,850.000000,11134200
2023-06-08,840.000000,855.000000,835.000000,845.000000,845.000000,7002100
2023-06-09,845.000000,870.000000,825.000000,855.000000,855.000000,18254000
2023-06-12,860.000000,860.000000,835.000000,840.000000,840.000000,7801900
2023-06-13,845.000000,860.000000,840.000000,840.000000,840.000000,6335100
