Date,Open,High,Low,Close,Adj Close,Volume
2024-01-10,224.000000,236.000000,204.000000,236.000000,236.000000,99518200
2024-01-11,294.000000,294.000000,208.000000,294.000000,294.000000,310064400
2024-01-12,304.000000,304.000000,222.000000,222.000000,222.000000,190251100
2024-01-15,222.000000,222.000000,222.000000,222.000000,222.000000,0
2024-01-16,182.000000,190.000000,176.000000,183.000000,183.000000,64583800
2024-01-17,183.000000,189.000000,180.000000,185.000000,185.000000,46096000
2024-01-18,183.000000,200.000000,182.000000,191.000000,191.000000,128341900
2024-01-19,190.000000,196.000000,182.000000,183.000000,183.000000,67759400
2024-01-22,183.000000,192.000000,175.000000,186.000000,186.000000,105424300
2024-01-23,177.000000,189.000000,174.000000,179.000000,179.000000,118770900
2024-01-24,179.000000,182.000000,165.000000,165.000000,165.000000,61907600
2024-01-25,165.000000,180.000000,158.000000,180.000000,180.000000,91979900
2024-01-26,180.000000,182.000000,166.000000,177.000000,177.000000,101710700
2024-01-29,179.000000,179.000000,126.000000,135.000000,135.000000,87060200
2024-01-30,135.000000,135.000000,111.000000,113.000000,113.000000,49128200
2024-01-31,105.000000,121.000000,99.000000,104.000000,104.000000,45047700
2024-02-01,96.000000,111.000000,96.000000,105.000000,105.000000,14452200
2024-02-02,106.000000,140.000000,105.000000,125.000000,125.000000,211712200
2024-02-05,127.000000,151.000000,118.000000,124.000000,124.000000,303172500
2024-02-06,125.000000,130.000000,112.000000,117.000000,117.000000,59454900
2024-02-07,117.000000,119.000000,104.000000,119.000000,119.000000,50913800
2024-02-12,110.000000,123.000000,110.000000,115.000000,115.000000,29800600
2024-02-13,115.000000,120.000000,109.000000,109.000000,109.000000,34604500
2024-02-15,108.000000,112.000000,98.000000,107.000000,107.000000,34465800
2024-02-16,107.000000,111.000000,99.000000,110.000000,110.000000,18203600
2024-02-19,109.000000,122.000000,109.000000,122.000000,122.000000,56398600
2024-02-20,124.000000,136.000000,122.000000,130.000000,130.000000,116632700
2024-02-21,132.000000,168.000000,130.000000,163.000000,163.000000,327053200
2024-02-22,165.000000,166.000000,149.000000,160.000000,160.000000,108431700
2024-02-23,160.000000,175.000000,155.000000,171.000000,171.000000,112921100
2024-02-26,173.000000,214.000000,172.000000,212.000000,212.000000,254639800
2024-02-27,218.000000,248.000000,212.000000,244.000000,244.000000,261189500
2024-02-28,250.000000,260.000000,183.000000,204.000000,204.000000,284624200
2024-02-29,204.000000,236.000000,204.000000,236.000000,236.000000,252851100
2024-03-01,238.000000,266.000000,220.000000,262.000000,262.000000,262844300
2024-03-04,268.000000,292.000000,248.000000,290.000000,290.000000,307404100
2024-03-05,292.000000,316.000000,218.000000,218.000000,218.000000,279429900
2024-03-06,220.000000,220.000000,173.000000,206.000000,206.000000,117747700
2024-03-07,208.000000,214.000000,206.000000,210.000000,210.000000,446155700
2024-03-08,212.000000,218.000000,196.000000,214.000000,214.000000,230882900
2024-03-13,216.000000,220.000000,185.000000,196.000000,196.000000,138495200
2024-03-14,197.000000,212.000000,184.000000,184.000000,184.000000,136497100
2024-03-15,175.000000,188.000000,157.000000,157.000000,157.000000,84482200
2024-03-18,141.000000,170.000000,141.000000,167.000000,167.000000,88270400
2024-03-19,168.000000,171.000000,155.000000,156.000000,156.000000,16359900
2024-03-20,157.000000,157.000000,140.000000,144.000000,144.000000,23065700
2024-03-21,134.000000,149.000000,134.000000,144.000000,144.000000,17252500
2024-03-22,136.000000,157.000000,136.000000,148.000000,148.000000,460925800
2024-03-25,148.000000,148.000000,148.000000,148.000000,148.000000,0
2024-03-26,148.000000,148.000000,148.000000,148.000000,148.000000,0
2024-03-27,160.000000,165.000000,138.000000,140.000000,140.000000,82706500
2024-03-28,132.000000,144.000000,132.000000,143.000000,143.000000,389982900
