Date,Open,High,Low,Close,Adj Close,Volume
2023-06-14,705.000000,705.000000,680.000000,690.000000,683.979858,6647300
2023-06-15,690.000000,705.000000,685.000000,690.000000,683.979858,3942800
2023-06-16,690.000000,700.000000,685.000000,695.000000,688.936279,5111300
2023-06-19,700.000000,710.000000,690.000000,700.000000,693.892639,8135900
2023-06-20,705.000000,705.000000,680.000000,695.000000,688.936279,5526500
2023-06-21,695.000000,760.000000,695.000000,760.000000,753.369141,31934700
2023-06-22,760.000000,770.000000,730.000000,735.000000,728.587280,15464800
2023-06-23,735.000000,745.000000,715.000000,715.000000,708.761780,8891100
2023-06-26,720.000000,750.000000,705.000000,745.000000,738.500000,18312900
2023-06-27,745.000000,750.000000,725.000000,745.000000,745.000000,8087500
2023-07-03,745.000000,760.000000,715.000000,720.000000,720.000000,12401100
2023-07-04,720.000000,765.000000,715.000000,745.000000,745.000000,16157900
2023-07-05,750.000000,805.000000,745.000000,795.000000,795.000000,38039100
2023-07-06,800.000000,805.000000,770.000000,780.000000,780.000000,19360200
2023-07-07,780.000000,795.000000,765.000000,785.000000,785.000000,8298700
2023-07-10,795.000000,795.000000,755.000000,765.000000,765.000000,10086100
2023-07-11,775.000000,790.000000,760.000000,775.000000,775.000000,9562300
2023-07-12,780.000000,785.000000,765.000000,770.000000,770.000000,5933000
2023-07-13,770.000000,775.000000,730.000000,750.000000,750.000000,14693300
2023-07-14,750.000000,790.000000,745.000000,760.000000,760.000000,14088000
2023-07-17,765.000000,785.000000,745.000000,775.000000,775.000000,8456500
2023-07-18,780.000000,790.000000,755.000000,780.000000,780.000000,17698100
2023-07-20,785.000000,805.000000,760.000000,785.000000,785.000000,22579200
2023-07-21,785.000000,800.000000,755.000000,795.000000,795.000000,25446000
2023-07-24,795.000000,800.000000,775.000000,785.000000,785.000000,8429700
2023-07-25,785.000000,795.000000,770.000000,775.000000,775.000000,11261100
2023-07-26,775.000000,835.000000,770.000000,830.000000,830.000000,23333200
2023-07-27,830.000000,840.000000,805.000000,805.000000,805.000000,24336500
2023-07-28,805.000000,810.000000,780.000000,790.000000,790.000000,11635400
2023-07-31,790.000000,825.000000,785.000000,815.000000,815.000000,15098800
2023-08-01,815.000000,825.000000,800.000000,810.000000,810.000000,11955300
2023-08-02,810.000000,815.000000,700.000000,760.000000,760.000000,51723400
2023-08-03,760.000000,775.000000,750.000000,755.000000,755.000000,13346800
2023-08-04,755.000000,770.000000,735.000000,745.000000,745.000000,19134000
2023-08-07,745.000000,745.000000,720.000000,720.000000,720.000000,9382300
2023-08-08,715.000000,745.000000,715.000000,720.000000,720.000000,8312100
2023-08-09,720.000000,740.000000,710.000000,720.000000,720.000000,9970400
2023-08-10,720.000000,735.000000,705.000000,710.000000,710.000000,10200500
2023-08-11,710.000000,740.000000,705.000000,730.000000,730.000000,12203800
2023-08-14,730.000000,740.000000,710.000000,730.000000,730.000000,15473500
2023-08-15,730.000000,785.000000,730.000000,770.000000,770.000000,20873900
2023-08-16,770.000000,780.000000,750.000000,765.000000,765.000000,11136800
2023-08-18,765.000000,770.000000,720.000000,740.000000,740.000000,18915500
2023-08-21,740.000000,765.000000,735.000000,745.000000,745.000000,10763900
2023-08-22,750.000000,770.000000,735.000000,755.000000,755.000000,20129200
2023-08-23,770.000000,780.000000,745.000000,760.000000,760.000000,11539200
2023-08-24,760.000000,770.000000,755.000000,770.000000,770.000000,5307400
2023-08-25,770.000000,810.000000,765.000000,790.000000,790.000000,28238300
2023-08-28,805.000000,890.000000,790.000000,880.000000,880.000000,51685700
2023-08-29,900.000000,905.000000,840.000000,845.000000,845.000000,32962700
2023-08-30,845.000000,890.000000,845.000000,850.000000,850.000000,19474200
2023-08-31,855.000000,875.000000,815.000000,830.000000,830.000000,16143200
2023-09-01,830.000000,860.000000,820.000000,830.000000,830.000000,10711500
2023-09-04,835.000000,850.000000,810.000000,825.000000,825.000000,9227900
2023-09-05,820.000000,840.000000,820.000000,820.000000,820.000000,5252200
2023-09-06,825.000000,850.000000,825.000000,840.000000,840.000000,8672200
2023-09-07,845.000000,870.000000,835.000000,840.000000,840.000000,12557200
2023-09-08,845.000000,860.000000,840.000000,855.000000,855.000000,6778100
2023-09-11,860.000000,865.000000,830.000000,840.000000,840.000000,8731000
2023-09-12,845.000000,890.000000,835.000000,850.000000,850.000000,18144400
2023-09-13,855.000000,870.000000,835.000000,845.000000,845.000000,8921100
2023-09-14,850.000000,855.000000,815.000000,825.000000,825.000000,14829600
2023-09-15,830.000000,850.000000,815.000000,845.000000,845.000000,9461200
2023-09-18,850.000000,970.000000,845.000000,950.000000,950.000000,57221900
2023-09-19,975.000000,975.000000,930.000000,945.000000,945.000000,22530200
2023-09-20,945.000000,970.000000,930.000000,935.000000,935.000000,11693800
2023-09-21,935.000000,1030.000000,930.000000,1030.000000,1030.000000,39299500
2023-09-22,1035.000000,1060.000000,1020.000000,1040.000000,1040.000000,18357200
2023-09-25,1055.000000,1095.000000,1045.000000,1060.000000,1060.000000,18497800
2023-09-26,1065.000000,1070.000000,905.000000,925.000000,925.000000,48782200
2023-09-27,920.000000,950.000000,915.000000,915.000000,915.000000,16579300
2023-09-29,915.000000,925.000000,855.000000,855.000000,855.000000,25117900
2023-10-02,855.000000,910.000000,850.000000,905.000000,905.000000,13651600
2023-10-03,910.000000,920.000000,895.000000,900.000000,900.000000,8007600
2023-10-04,900.000000,910.000000,865.000000,885.000000,885.000000,11592300
2023-10-05,885.000000,895.000000,860.000000,870.000000,870.000000,6957100
2023-10-06,870.000000,900.000000,865.000000,880.000000,880.000000,4308700
2023-10-09,880.000000,885.000000,840.000000,845.000000,845.000000,7404500
2023-10-10,850.000000,900.000000,845.000000,865.000000,865.000000,8136900
2023-10-11,885.000000,885.000000,860.000000,870.000000,870.000000,2941100
2023-10-12,865.000000,880.000000,845.000000,850.000000,850.000000,6966100
2023-10-13,850.000000,875.000000,840.000000,845.000000,845.000000,5598600
2023-10-16,840.000000,860.000000,805.000000,820.000000,820.000000,11322200
2023-10-17,835.000000,870.000000,820.000000,870.000000,870.000000,7930000
2023-10-18,875.000000,880.000000,835.000000,835.000000,835.000000,9595500
2023-10-19,840.000000,845.000000,825.000000,830.000000,830.000000,3220300
2023-10-20,830.000000,840.000000,820.000000,835.000000,835.000000,1920200
2023-10-23,840.000000,845.000000,780.000000,800.000000,800.000000,8165600
2023-10-24,800.000000,835.000000,800.000000,825.000000,825.000000,3825300
2023-10-25,830.000000,845.000000,820.000000,825.000000,825.000000,2628300
2023-10-26,835.000000,835.000000,795.000000,805.000000,805.000000,4092800
2023-10-27,805.000000,825.000000,805.000000,810.000000,810.000000,1765000
2023-10-30,810.000000,840.000000,810.000000,835.000000,835.000000,3241900
2023-10-31,845.000000,850.000000,820.000000,850.000000,850.000000,10451500
2023-11-01,850.000000,850.000000,820.000000,820.000000,820.000000,5066300
2023-11-02,815.000000,825.000000,810.000000,815.000000,815.000000,2711200
2023-11-03,820.000000,850.000000,815.000000,840.000000,840.000000,5241600
2023-11-06,840.000000,870.000000,830.000000,845.000000,845.000000,8419300
2023-11-07,850.000000,855.000000,840.000000,840.000000,840.000000,3091400
2023-11-08,840.000000,845.000000,830.000000,840.000000,840.000000,2458100
2023-11-09,850.000000,850.000000,790.000000,790.000000,790.000000,13856100
